BLOCK1,BLOCK2
271711009005079,271711009005083
271711009005079,271711009005082
271711009005046,271711009005083
271711009005046,271711009005064
271711009005064,271711009005083
271711009005064,271711009005077
270530203012021,270530203012022
270530203012021,270530203012024
270530203012023,270530203012024
270530203012022,270530203012023
270530203011013,270530203012021
270530203011013,270530203012022
270530203011013,270530203011018
270530203011013,270530203011014
270530203011013,270530203011016
270530203011013,270530203011015
270530203011013,270530203012010
270530203043006,270530203043007
270530203043006,270530203043011
270530203043007,270530203043011
270530203043007,270530203043009
270530203043007,270530203043008
270530203043001,270530203043006
270530203043001,270530203043007
270530203043001,270530203043004
270530203043001,270530203043002
270530203043001,270530203043005
270530203043001,270530203043008
270530203011018,270530203012023
270530203011018,270530203012022
270530203011018,270530203043001
270530203011018,270530203012019
270530203011018,270530203043002
270530203011018,270530203012024
270530203011018,270530203022001
270530203011018,270530203011026
270530203011018,270530203011021
270530203011018,270530203011020
270530203011018,270530203011019
270530203011018,270530203011025
270530203011018,270530203011022
270530203011017,270530203011018
270530203011017,270530203011020
270530203011017,270530203011019
270530203012009,270530203012010
270530203011014,270530203012009
270530203011014,270530203011016
270530203011014,270530203011015
270530203011014,270530203012010
270530203011015,270530203011016
270530203011005,270530203012009
270530203011005,270530203011014
270530203011005,270530203011015
270530203011005,270530203012000
270530203011004,270530203011005
270530203011004,270530203012000
270530203011000,270530203011013
270530203011000,270530203011015
270530203011000,270530203011005
270530203011000,270530203011004
270530203011000,270530203011003
270530203011000,270530268111013
270530203011000,270530203011012
270530203011000,270530203011006
270530203011000,270530203011011
270530203011000,270530203011002
270530203011000,270530203011001
270530203011000,270530203011009
270530203011003,270530203011004
270530203011003,270530268111013
270530203011003,270530203012000
270530268111013,270530268111015
270530268111013,270530268111014
270530268111013,270530268111016
270530268111013,270530268111017
270530268111013,270530268111018
270530271024011,270530271024014
270530271024011,270530271024013
270530271023003,270530271024014
270530271023003,270530271024011
270530271023003,270530271024013
270530271023003,270530271023004
270530271023003,270530271023005
270530271023003,270530271023006
270530271023003,270530271023009
270530271023003,270530271023008
270530271023003,270530271023023
270530271023004,270530271023005
270530271022016,270530271024011
270530271022016,270530271023003
270530271022016,270530271023005
270530271022016,270530271022019
270530271023005,270530271023006
270530271022024,270530271022031
270530271022024,270530271022025
270530271024009,270530271024017
270530271024009,270530271024015
270530271023009,270530271024014
270530271023009,270530271024011
270530271023009,270530271024009
270530271023009,270530271024017
270530271023009,270530271023010
270530270011033,270530270011035
270530270011033,270530271024016
270530270011033,270530270011034
270530270011033,270530271024025
270530270011035,270530271024015
270530271024016,270530271024017
270530271024016,270530271024025
270530271024016,270530271024026
270530271024015,270530271024016
270530270011017,270530270011018
270530270011017,270530270011034
270530270011017,270530270011022
270530270011017,270530270012000
270530270011017,270530270011027
270530270011017,270530270011028
270530270011017,270530270011029
270530270011034,270530270011035
270530270011034,270530271024015
270530270012003,270530270012004
270530270012003,270530270012005
270530270012003,270530270012010
270530270012003,270530270012012
270530270012003,270530270012013
270530270012003,270530270012015
270530270012015,270530270012016
270530270012004,270530270012005
270530270012001,270530270012003
270530270012001,270530270012015
270530270012001,270530270012016
270530270011022,270530270012000
270530270012000,270530270012056
270530270012000,270530270012001
270530270012000,270530270012016
270530270012000,270530270012014
270530270012000,270530270012055
271711009002022,271711009003047
271711009002022,271711009002023
271711009002016,271711009002022
271711009002016,271711009002017
271711009002016,271711009003047
271711009002015,271711009002016
271711009002015,271711009002020
271711009002015,271711009002021
271711009002014,271711009002015
271711009002017,271711009002020
271711009002017,271711009002018
271711009002017,271711009003047
271711009002018,271711009002019
271711009002003,271711009002005
271711009002003,271711009003047
271711009002003,271711009002004
271711009002001,271711009002003
271711009002001,271711009002005
271711009002002,271711009002005
271711009002000,271711009002018
271711009002000,271711009002003
271711009002000,271711009002001
271711009002000,271711009002005
271711009002000,271711009002002
271711009002000,271711009002019
271711009002000,271711009002006
271711009002000,271711009002007
271711009002000,271711009003032
271711009002000,271711009003047
271711009002000,271711009002004
271711009002009,271711009002014
271711009002009,271711009002020
271711009002008,271711009002009
271711009002008,271711009002019
271711009002019,271711009002020
271711009002006,271711009002014
271711009002006,271711009002009
271711009002006,271711009002008
271711009002006,271711009002007
271711009002006,271711009002010
271711009002006,271711009002012
271711009002007,271711009002008
271711009002010,271711009002011
270530270012006,271711009002010
270530270012006,270530270012007
270530270012005,270530270012006
270530270012005,270530270012008
270530270012005,270530270012009
270530270012005,270530270012010
270530218001001,270530218001002
270530218001000,270530218001001
270530217002027,270530218001000
270530217002027,270530217002031
270530217002027,270530217002028
270530032002015,270530218001001
270530032002015,270530218001000
270530032002015,270530218001002
270530032002014,270530032002015
270530032002014,270530217002027
270530032002007,270530032002014
270530032002007,270530032002012
270530032002007,270530217002027
270530032002012,270530032002014
270530032002012,270530032002013
270530032002012,270531041002006
270530032002012,270530032002016
270530032001009,270530032002007
270530032001009,270530217002031
270530032001008,270530032002007
270530032001008,270530032001015
270530032001008,270530032001009
270530032002006,270530032002007
270530032002005,270530032002012
270530032002005,270530032002006
270530032001015,270530032002006
270530032001015,270530032001016
270530032001014,270530032002005
270530032001014,270530032001015
270530032001014,270530032001020
270530032001010,270530032001016
270530032001010,270530032001014
270530032001010,270530032001011
271711009001001,271711009002026
271711009001001,271711009001007
271711009001001,271711009002027
271711009001001,271711009001020
271711009001001,271711009001022
271711009001001,271711009001003
271711009001001,271711009001019
271711009001001,271711009003050
271711009001001,271711009001002
271711009001001,271711009003044
271711009001000,271711009001001
271711009001000,271711009002026
271711009001000,271711009003032
271711009002026,271711009003032
271711009002026,271711009002027
271711009003033,271711009003047
271711009003046,271711009003047
271711009003034,271711009003047
271711009003032,271711009003033
271711009003032,271711009003046
271711009003032,271711009003034
271711009003032,271711009003047
271711009003032,271711009003044
271711009002025,271711009002026
271711009002025,271711009003032
271711009002025,271711009003048
271711009002025,271711009003047
271711009002024,271711009002025
271711009002024,271711009003047
271711009002024,271711009002027
271711009003047,271711009003048
271711009002004,271711009003047
271711009005063,271711009005083
271711009005063,271711009005064
271711009005063,271711009005065
271711009005063,271711009005067
271711009005063,271711010004001
271711009005063,271711009005066
271711009005065,271711009005077
271711009005067,271711009005070
271711009005067,271711009005068
271711009005067,271711010004001
271711009005070,271711010004000
271711009005068,271711009005070
271711009005068,271711009005069
271711009005068,271711009005072
271711009005059,271711009005068
271711009005059,271711009005072
270530217002029,270530217002030
270530217002029,270530218001002
270530217002029,270530217003020
270530217002030,270530217003004
270530217002024,270530217002030
270530217002024,270530217002026
270530217002024,270530217003004
270530217002028,270530218001001
270530217002028,270530217002029
270530217002023,270530217002024
270530217003002,270530217003004
270530217002022,270530217002024
270530217002022,270530217002023
270530217002022,270530217002026
270530217002022,270530217002025
270530217002022,270530217003001
270530217002021,270530217002022
270530217002021,270530217002025
270530217002021,270530217003000
270530217002020,270531020003015
270530217002020,270530217002021
270530217002020,270530217002025
270530217002026,270530217002027
270530217002026,270530217002031
270530217002026,270530217002029
270530032001007,270530032001008
