TRACT,COUNTY,STATE,POP2000,POPULATION,HISPANIC_O,NH_WHT,NH_DOJ_BLK,NH_DOJ_IND,NH_DOJ_ASN,NH_DOJ_HWN,NH_DOJ_OTH,NH_DOJ_OT1,F18_POP_20,F18_POP,H18_POP,NH18_WHT,NH18_DOJ_B,NH18_DOJ_I,NH18_DOJ_A,NH18_DOJ_H,NH18_DOJ_O,NH18_DOJ_1,USSENGP02,USSENIP02,USSENR02,WELLSTONE,USSENDFL02,USSENCP02,USSENWI02,CONGGP02,CONGIP02,CONGR02,CONGDFL02,CONGNNT02,CONGWI02,MNSENGP02,MNSENIP02,MNSENR02,MNSENDFL02,MNSENCP02,MNSENICP02,MNSENWI02,MNLEGGP02,MNLEGIP02,MNLEGR02,MNLEGDFL02,MNLEGCP02,MNLEGGI02,MNLEGWI02,GOVGP02,GOVIP02,GOVR02,GOVDFL02,GOVCP02,GOVI02,GOVSW02,GOVWI02,SOSGP02,SOSIP02,SOSR02,SOSDFL02,SOSWI02,AGIP02,AGR02,AGDFL02,AGWI02,AUDGP02,AUDIP02,AUDR02,AUDDFL02,AUDWI02,USPRESGP04,USPRESR04,USPRESDFL0,USPRESSE04,USPRESSW04,USPRESCF04,USPRESBL04,USPRESC04,USPRESL04,USPRESWI04,USCONGI04,USCONGR04,USCONGDFL0,USCONGWI04,MNLEGI04,MNLEGR04,MNLEGDFL04,MNLEGWI04,USSENR06,USSENDFL06,USSENIP06,USSENWI06,GOVR06,GOVDFL06,GOVIP06,GOVWI06,AGR06,AGDFL06,AGIP06,AGWI06,SOSR06,SOSDFL06,SOSIP06,SOSWI06,AUDR06,AUDDFL06,AUDWI06,CONGR06,CONGDFL06,CONGIP06,CONGWI06,MNSENR06,MNSENDFL06,MNSENIP06,MNSENWI06,MNLEGR06,MNLEGDFL06,MNLEGIP06,MNLEGWI06,USPRESR08,USPRESDFL1,USPRESGP08,USPRESSWP0,USPRESIND0,USPRESLIB0,USPRESCP08,USPRESWI08,USSENIP08,USSENR08,USSENDFL08,USSENLIB08,USSENCP08,USSENWI08,CONGIP08,CONGR08,CONGDFL08,CONGWI08,MNLEGIP08,MNLEGR08,MNLEGDFL08,MNLEGWI08,CONGIP10,CONGR10,CONGDFL10,CONGWI10,MNSENIP10,MNSENR10,MNSENDFL10,MNSENWI10,MNLEGIP10,MNLEGR10,MNLEGDFL10,MNLEGWI10,GOVIP10,GOVR10,GOVDFL10,GOVGP10,GOVTRP10,GOVGR10,GOVEDP10,GOVWI10,SOSIP10,SOSR10,SOSDFL10,SOSWI10,AUDR10,AUDDFL10,AUDGP10,AUDGR10,AUDWI10,AGIP10,AGR10,AGDFL10,AGTRP10,AGWI10
27003051101,27003,27,5063.0000000000,4985.0000000000,240.0000000000,3876.0000000000,504.0000000000,60.0000000000,269.0000000000,1.0000000000,14.0000000000,21.0000000000,3952.0000000000,3859.0000000000,149.0000000000,3183.0000000000,286.0000000000,46.0000000000,176.0000000000,1.0000000000,6.0000000000,12.0000000000,9.9999990000,54.0000000000,1074.9999800000,12.0000010000,1117.0000430000,0.9999970000,0.0000000000,108.9999990000,0.0000000000,850.9999940000,1217.9999550000,0.0000000000,1.9999940000,0.0000000000,0.0000000000,942.0000450000,1220.0000000000,0.0000000000,0.0000000000,7.0000020000,0.0000000000,126.0000000000,840.0000110000,1166.9999560000,0.0000000000,0.0000000000,3.9999960000,47.9999970000,362.0000060000,960.0000230000,872.0000020000,1.9999960000,6.9999950000,4.0000030000,0.0000000000,51.9999990000,104.0000000000,1035.0000070000,1005.0000140000,0.0000000000,94.9999980000,833.0000150000,1275.9999840000,0.9999970000,71.0000020000,163.0000000000,872.9999800000,1042.9999980000,2.9999990000,4.0000040000,1148.9999850000,1509.9999970000,1.0000000000,0.0000000000,0.9999980000,23.0000030000,4.0000040000,6.0000020000,1.9999980000,0.0000000000,978.0000090000,1482.0000120000,6.0000070000,0.0000000000,1047.0000100000,1487.0000390000,5.9999990000,674.9999920000,1214.0000350000,77.0000030000,5.0000070000,840.0000170000,981.0000130000,139.0000060000,2.9999950000,700.9999860000,1104.0000290000,92.0000020000,1.9999990000,783.9999960000,1018.0000150000,67.9999940000,5.0000000000,705.0000060000,1043.0000210000,3.0000000000,669.0000280000,907.0000110000,348.9999880000,8.0000100000,687.9999910000,1232.0000140000,0.0000000000,8.9999980000,671.9999940000,1092.0000080000,140.0000100000,3.0000020000,1079.9999960000,1590.9999710000,4.9999930000,0.0000000000,34.0000000000,7.0000030000,6.0000070000,0.0000000000,443.9999860000,981.9999790000,1257.0000670000,16.9999980000,9.9999980000,0.0000000000,247.9999930000,912.0000350000,1422.0000230000,11.0000040000,0.0000000000,1059.9999930000,1455.9999950000,8.0000030000,87.0000000000,723.9999960000,955.9999800000,4.0000000000,0.0000000000,743.0000080000,1031.0000170000,5.9999970000,0.0000000000,842.9999700000,1042.9999780000,4.9999950000,180.9999980000,753.0000110000,979.9999810000,10.9999990000,2.9999990000,9.9999970000,6.0000000000,2.0000010000,80.9999980000,762.0000160000,1046.9999880000,3.0000020000,746.0000120000,1032.9999950000,67.9999970000,35.9999980000,4.0000000000,104.0000010000,676.9999910000,1108.0000070000,9.9999980000,4.0000000000
27003051201,27003,27,3676.0000000000,3733.0000000000,326.0000000000,2248.0000000000,778.0000000000,67.0000000000,265.0000000000,0.0000000000,15.0000000000,34.0000000000,2929.0000000000,2791.0000000000,184.0000000000,1888.0000000000,461.0000000000,49.0000000000,181.0000000000,0.0000000000,8.0000000000,20.0000000000,7.5666910000,23.8986290000,529.8038760000,5.9668160000,706.0744340000,3.0126740000,0.0000000000,75.5372050000,0.0000000000,382.3377810000,763.8445640000,0.0000000000,2.1762220000,0.0000000000,0.0000000000,471.9419620000,747.1299990000,0.0000000000,0.0000000000,3.5413400000,0.0000000000,71.1901760000,401.0451080000,732.7998490000,0.0000000000,0.0000000000,3.5286680000,28.7350890000,184.3194780000,499.8074120000,538.1551210000,4.0380280000,7.0380250000,1.6825620000,2.6825600000,31.7984710000,62.8582400000,474.1363400000,659.8329590000,2.3524440000,51.6482200000,408.1579610000,769.9278420000,2.3524440000,48.5401850000,91.5662010000,419.5043920000,634.1401090000,2.3524440000,2.6786070000,584.4790580000,918.5279870000,0.0000000000,0.0000000000,0.1765570000,12.4474700000,4.0016380000,0.8535280000,1.1765570000,0.0000000000,480.6056610000,880.7623950000,1.0300830000,0.0000000000,513.2434710000,897.7337760000,2.5304920000,306.9163120000,688.4353660000,40.4471200000,0.0000000000,400.4994130000,562.2495320000,72.0357840000,1.4944590000,331.2837630000,627.0850110000,43.4360370000,1.0000000000,359.3809460000,586.7098860000,34.5737290000,1.0000000000,320.3762620000,604.9979990000,1.0000000000,320.3349190000,477.3020160000,212.2322080000,1.0251440000,324.9001130000,676.0035470000,0.0000000000,1.6713550000,304.6810100000,616.3092160000,75.3213630000,1.9889180000,554.0960310000,1014.0482520000,3.3516230000,1.0000020000,29.6284850000,5.4856470000,3.6859070000,0.0000000000,260.9999980000,489.7795060000,826.6631050000,9.6398550000,8.1283390000,0.0000000000,158.2135910000,449.3078170000,905.7866360000,3.8199210000,0.0000000000,531.7208320000,918.8890790000,3.8199210000,39.7014370000,311.7601420000,498.2230880000,0.1775700000,0.0000000000,317.3923080000,547.3698720000,1.1775690000,0.0000000000,387.0650630000,527.1370890000,1.1775690000,85.2104730000,343.3611470000,517.5491840000,4.1075390000,2.3551400000,2.3551400000,1.8376320000,0.1775700000,43.6500970000,333.7301050000,546.2145980000,0.1775700000,344.3774650000,522.7702500000,29.5284760000,17.7735830000,1.1775690000,48.9423100000,294.3534120000,574.8364120000,5.0725240000,1.1775690000
27003051206,27003,27,2380.0000000000,2409.0000000000,207.0000000000,1692.0000000000,339.0000000000,47.0000000000,100.0000000000,8.0000000000,5.0000000000,11.0000000000,1909.0000000000,1865.0000000000,123.0000000000,1435.0000000000,190.0000000000,38.0000000000,67.0000000000,6.0000000000,5.0000000000,1.0000000000,3.4168840000,16.3824300000,418.2068090000,8.4813370000,557.8621870000,0.0000000000,0.0000000000,49.8707870000,0.0000000000,320.1557950000,599.5238620000,0.0000000000,1.1389570000,0.0000000000,0.0000000000,384.6898130000,589.9752110000,0.0000000000,0.0000000000,3.1017000000,0.0000000000,68.7961940000,314.2460810000,573.1558320000,0.0000000000,0.0000000000,2.7865140000,15.8738320000,157.0621480000,402.6195270000,427.2898820000,0.0000000000,1.2607360000,0.8237740000,0.8237740000,15.5586490000,62.7646940000,372.8918660000,524.3452180000,1.6475570000,43.5241100000,310.6572860000,625.6913420000,1.9627400000,32.5929490000,82.8075550000,334.8906710000,500.4556590000,1.9627400000,2.7002650000,481.5512090000,728.7687370000,0.0000000000,0.0000000000,0.8234460000,9.9962720000,0.0000000000,1.9596890000,1.4490510000,0.0000000000,376.8001890000,714.2782580000,2.4703280000,0.0000000000,415.0689450000,723.6168420000,2.7831330000,253.0833760000,521.5757400000,30.3883230000,0.0000000000,303.6723630000,453.4438670000,45.1514930000,0.0000000000,259.8843770000,476.6126960000,34.1130550000,0.0000000000,275.2544790000,470.5267300000,28.1351650000,0.3103950000,242.1668510000,484.2229760000,0.0000000000,240.2906520000,367.5667870000,172.6437940000,2.7797100000,253.6764870000,538.0516650000,0.0000000000,0.8231050000,246.0662130000,485.1818380000,50.2785940000,0.0000000000,427.6897640000,697.5101760000,4.1138400000,0.0000000000,15.9359020000,4.3160510000,3.9069860000,0.0000000000,193.8642420000,366.3133450000,581.2708630000,4.8308590000,4.2149430000,0.0000000000,98.7775520000,347.7254690000,646.9355170000,1.9534900000,0.0000000000,408.0583570000,650.5391540000,2.5694070000,30.1250890000,229.4633460000,374.0723100000,0.8224300000,0.0000000000,224.0351850000,412.0928470000,0.8224300000,0.0000000000,280.4079910000,408.3802470000,1.1279230000,64.7618720000,249.7659680000,394.4689740000,1.4334170000,2.2558460000,2.8668320000,2.2558460000,1.1279230000,46.5503440000,235.0796160000,409.3200670000,0.8224300000,235.1736730000,415.4766220000,20.3966650000,18.2582120000,0.8224300000,42.5555820000,203.4977710000,442.7348860000,2.3498970000,0.8224300000
27053000101,27053,27,3170.0000000000,3031.0000000000,300.0000000000,1268.0000000000,823.0000000000,55.0000000000,526.0000000000,0.0000000000,11.0000000000,48.0000000000,2213.0000000000,2174.0000000000,176.0000000000,1110.0000000000,498.0000000000,43.0000000000,315.0000000000,0.0000000000,8.0000000000,24.0000000000,8.0000010000,20.9999990000,355.9999970000,10.0000040000,682.0000250000,3.9999970000,2.0000000000,90.0000040000,0.0000000000,233.9999990000,712.9999960000,0.0000000000,2.0000000000,0.0000000000,88.9999970000,259.9999930000,659.0000270000,0.0000000000,0.0000000000,3.9999970000,81.9999970000,0.0000000000,218.9999970000,708.0000070000,0.0000000000,0.0000000000,0.0000000000,48.0000020000,131.9999970000,300.0000120000,570.9999930000,5.9999960000,11.0000020000,3.9999970000,1.0000000000,48.9999990000,45.9999970000,304.9999930000,635.9999700000,0.0000000000,55.9999970000,236.0000080000,725.0000160000,1.0000000000,54.0000020000,76.9999960000,249.9999970000,610.9999850000,0.0000000000,3.0000010000,365.0000150000,1113.0000110000,0.0000000000,0.0000000000,1.9999990000,14.9999940000,1.0000020000,1.9999990000,1.0000020000,0.0000000000,280.9999910000,1016.0000010000,4.9999990000,0.0000000000,279.9999950000,1065.9999960000,3.0000010000,176.0000000000,775.0000330000,40.9999980000,1.9999990000,230.0000020000,693.0000040000,71.9999980000,0.0000000000,196.0000070000,717.0000000000,31.0000010000,1.0000010000,215.9999970000,699.0000150000,31.0000010000,1.9999990000,185.9999910000,712.9999910000,1.0000010000,193.0000010000,596.0000220000,173.9999930000,3.0000010000,231.0000070000,740.0000340000,0.0000000000,4.0000030000,165.0000020000,771.9999890000,0.0000000000,3.0000010000,329.9999910000,1148.9999970000,1.9999960000,0.9999990000,9.9999990000,6.9999990000,4.0000030000,0.0000000000,204.9999980000,337.9999980000,944.9999730000,5.0000020000,4.0000030000,0.0000000000,84.9999990000,265.9999940000,1057.0000250000,3.0000020000,0.0000000000,280.0000010000,1123.0000180000,5.0000020000,21.9999990000,181.0000040000,605.9999760000,0.0000000000,0.0000000000,201.9999880000,654.9999960000,0.9999940000,0.0000000000,199.9999990000,657.0000120000,0.9999940000,69.0000070000,182.9999890000,629.9999690000,5.0000020000,0.0000000000,3.9999990000,3.9999990000,0.0000000000,30.9999970000,183.9999970000,638.0000110000,0.0000000000,201.0000040000,602.9999940000,33.9999980000,15.0000020000,0.0000000000,19.9999980000,170.0000050000,657.0000120000,8.0000010000,0.0000000000
27053000102,27053,27,4448.0000000000,4569.0000000000,348.0000000000,2071.0000000000,1455.0000000000,116.0000000000,515.0000000000,2.0000000000,8.0000000000,54.0000000000,3167.0000000000,3344.0000000000,224.0000000000,1813.0000000000,891.0000000000,78.0000000000,306.0000000000,1.0000000000,6.0000000000,25.0000000000,14.9999970000,40.0000020000,468.9999880000,0.0000000000,1048.9999850000,1.0000010000,0.0000000000,123.9999980000,0.0000000000,341.9999960000,1053.0000200000,0.0000000000,2.0000010000,0.0000000000,139.0000020000,333.9999990000,1006.9999940000,0.0000000000,0.0000000000,2.0000010000,174.9999980000,0.0000000000,327.9999990000,996.9999600000,0.0000000000,0.0000000000,0.9999980000,77.0000000000,150.0000000000,437.0000070000,876.0000010000,0.9999980000,26.0000030000,1.9999990000,1.0000010000,72.9999970000,75.0000000000,413.0000170000,963.0000030000,0.0000000000,101.0000000000,361.9999970000,1047.0000200000,1.0000010000,92.9999970000,102.0000000000,382.0000060000,909.9999940000,0.0000000000,9.0000040000,573.9999910000,1576.0000190000,1.9999990000,1.0000000000,4.0000040000,24.0000000000,1.0000000000,6.0000020000,1.9999990000,0.0000000000,453.0000100000,1481.0000080000,3.0000050000,0.0000000000,449.0000010000,1561.0000280000,8.0000040000,297.0000090000,1093.0000020000,77.0000050000,1.0000020000,362.0000030000,969.9999900000,125.0000040000,0.0000000000,302.0000020000,1000.0000060000,78.0000000000,3.0000000000,322.0000010000,1017.0000100000,61.9999980000,2.0000050000,295.9999990000,990.0000050000,3.0000000000,301.0000000000,876.9999890000,236.9999900000,1.0000020000,353.0000060000,1093.9999920000,0.0000000000,9.0000000000,284.0000020000,1063.0000320000,0.0000000000,3.9999970000,477.9999890000,1654.0000270000,5.9999990000,0.0000000000,26.0000000000,10.9999990000,1.9999970000,0.0000000000,290.0000010000,465.9999950000,1348.9999900000,18.9999980000,15.9999990000,0.0000000000,155.0000020000,381.0000020000,1494.9999780000,1.9999970000,0.0000000000,390.9999960000,1592.0000580000,11.9999990000,45.9999980000,249.0000040000,877.0000060000,3.0000030000,0.0000000000,289.0000030000,923.0000160000,3.0000020000,0.0000000000,274.0000020000,925.9999730000,9.9999970000,88.9999990000,285.0000030000,880.9999680000,4.9999990000,3.0000030000,3.9999990000,3.0000010000,3.0000020000,50.0000010000,263.0000070000,872.0000060000,4.0000040000,282.0000030000,848.0000110000,58.0000030000,22.0000020000,3.0000020000,49.0000030000,242.0000020000,916.0000010000,5.0000020000,3.0000020000
27053000300,27053,27,3491.0000000000,3173.0000000000,139.0000000000,2189.0000000000,635.0000000000,41.0000000000,122.0000000000,1.0000000000,5.0000000000,41.0000000000,2543.0000000000,2438.0000000000,88.0000000000,1826.0000000000,396.0000000000,31.0000000000,70.0000000000,1.0000000000,4.0000000000,22.0000000000,11.8378400000,30.9904510000,559.1717930000,2.9982060000,1075.9806010000,2.6105480000,1.4991020000,148.0251240000,0.0000000000,441.5944610000,1066.0552970000,0.0000000000,3.3600980000,0.0000000000,158.7515220000,449.0899790000,1028.4481060000,0.0000000000,0.0000000000,4.7299860000,200.1326410000,0.0000000000,415.9543210000,1020.0733990000,0.0000000000,0.0000000000,6.5909810000,76.8427050000,207.7058520000,516.1884960000,862.6144670000,0.6203310000,28.6641020000,0.6203310000,0.0000000000,119.8778950000,77.9026240000,543.4054430000,899.5236800000,0.7495520000,98.1405070000,441.1291220000,1098.8552400000,1.3698830000,121.4804610000,120.3690150000,455.0606200000,905.8562000000,3.4893200000,3.3593100000,563.5128370000,1467.0610370000,0.0000000000,0.6199680000,1.3696660000,20.5163600000,2.1193650000,4.3397930000,1.9896400000,0.0000000000,477.9583710000,1396.9635430000,2.1193650000,0.0000000000,475.4498240000,1479.6338900000,6.2283740000,376.9974350000,1158.8390650000,55.5633020000,0.0000000000,459.2985500000,997.5991650000,122.5677890000,0.7498480000,387.4990960000,1048.5609680000,63.4209030000,1.2392080000,409.6075690000,1047.2231150000,52.7257740000,0.6196040000,358.5117250000,1015.1377560000,2.4784170000,354.2061210000,860.8790970000,333.3052330000,3.8478690000,475.7673650000,1080.7095670000,0.0000000000,2.7389060000,369.5975900000,1112.5344350000,0.0000000000,2.7389060000,466.2661720000,1503.9022590000,8.4423240000,0.7500000000,18.6461890000,7.3346300000,6.3576970000,0.0000000000,254.9581230000,489.0546500000,1237.8249870000,9.3230970000,5.1192320000,0.0000000000,119.2194060000,436.9006950000,1367.5906480000,1.3692330000,0.0000000000,442.5083960000,1445.1138430000,10.6923270000,40.8077710000,318.9606270000,958.4189360000,1.3690120000,0.0000000000,340.4709210000,1024.7127310000,3.9757400000,0.0000000000,338.6703740000,1011.7167280000,8.5703310000,117.9407580000,340.7335160000,927.4944710000,6.7137600000,2.7380210000,5.2134490000,4.5945960000,1.9878650000,56.3168210000,323.4799410000,969.9898600000,1.3690120000,335.0508900000,941.1093010000,60.1052420000,20.4038860000,0.7501560000,55.3417090000,297.1877180000,1001.3082290000,6.7137600000,0.7501560000
27053002200,27053,27,1724.0000000000,1427.0000000000,176.0000000000,214.0000000000,640.0000000000,32.0000000000,313.0000000000,1.0000000000,11.0000000000,40.0000000000,921.0000000000,818.0000000000,85.0000000000,184.0000000000,344.0000000000,22.0000000000,165.0000000000,1.0000000000,3.0000000000,14.0000000000,1.9070890000,5.0855700000,45.1344230000,2.5427850000,201.5156680000,0.0000000000,0.0000000000,24.1564520000,0.0000000000,33.0561980000,180.5376980000,0.0000000000,0.0000000000,0.0000000000,42.5916410000,35.5989830000,160.1954220000,0.0000000000,0.0000000000,1.2713930000,12.7139210000,15.8924020000,29.2420220000,167.1880830000,0.0000000000,13.9853150000,0.6356960000,14.6210090000,17.7994910000,33.0561980000,163.3739120000,0.0000000000,12.0782280000,1.2713930000,0.0000000000,13.9853150000,11.4425310000,40.0488560000,175.4521310000,0.0000000000,6.9926550000,38.7774610000,190.7088330000,1.2713930000,15.8924020000,12.0782280000,34.3275910000,175.4521310000,0.0000000000,0.0000000000,68.2262620000,373.0127460000,0.6376290000,0.0000000000,0.0000000000,2.5505140000,0.0000000000,0.6376290000,0.0000000000,0.0000000000,54.1984350000,322.6400890000,0.6376290000,0.0000000000,52.2855490000,341.7689540000,0.6376290000,27.5056570000,182.9446070000,10.2346630000,0.6396650000,29.4246600000,176.5479470000,14.0726620000,0.6396650000,28.1453250000,166.9529550000,9.5949940000,0.0000000000,30.7039900000,170.1512760000,9.5949940000,0.0000000000,26.8659900000,166.3132850000,0.6396650000,21.7486610000,172.0702800000,26.8659900000,0.0000000000,37.1006570000,179.7462720000,0.0000000000,0.0000000000,28.7849890000,159.2769570000,24.9469920000,0.0000000000,41.0763830000,393.4347180000,1.2836360000,0.6418180000,6.4181840000,1.2836360000,0.0000000000,0.0000000000,44.2854740000,59.0473020000,324.7601500000,2.5672760000,1.2836360000,0.0000000000,25.0309200000,42.3600180000,351.7165180000,0.6418180000,23.7472850000,44.2854740000,333.1037820000,0.0000000000,3.2204660000,22.5433050000,146.8535490000,0.6440920000,0.0000000000,27.6960660000,150.7181080000,0.6440920000,0.0000000000,26.4078750000,150.7181080000,0.6440920000,9.0173220000,24.4755910000,146.2094520000,1.2881920000,0.0000000000,2.5763760000,1.2881920000,0.0000000000,7.0850410000,25.7637810000,144.2771640000,0.0000000000,25.7637810000,144.9212650000,6.4409450000,5.7968520000,0.0000000000,7.7291300000,22.5433050000,146.2094520000,1.9322880000,0.0000000000
27053002700,27053,27,2822.0000000000,2583.0000000000,181.0000000000,343.0000000000,1625.0000000000,47.0000000000,321.0000000000,0.0000000000,7.0000000000,59.0000000000,1689.0000000000,1703.0000000000,98.0000000000,311.0000000000,1059.0000000000,33.0000000000,165.0000000000,0.0000000000,4.0000000000,33.0000000000,3.2059120000,6.4240100000,98.7310760000,2.0661640000,670.2239100000,0.4571160000,0.0000000000,66.7207020000,0.0000000000,76.7285450000,617.6981820000,0.0000000000,1.6090470000,0.0000000000,154.8466040000,75.6192560000,523.3677180000,0.0000000000,0.0000000000,1.6090470000,38.0442810000,15.8040420000,69.4146690000,556.4263180000,0.0000000000,70.2252410000,1.3835340000,30.7182220000,50.6789630000,86.5778750000,552.0806560000,1.1458370000,53.7324700000,0.6887200000,0.6887200000,39.4339090000,20.4178610000,91.6427200000,601.8575850000,0.9203260000,39.4460900000,82.2444030000,623.8662270000,2.0661640000,41.7499560000,35.3198530000,78.5630980000,577.2769330000,4.1445130000,1.8501190000,136.3120920000,1008.9445690000,0.6934600000,1.6185200000,2.0803830000,2.7751780000,0.0000000000,0.6934600000,1.6171860000,0.0000000000,119.2205220000,871.2295790000,3.0027710000,0.0000000000,114.3756330000,927.8417440000,4.3896920000,65.7035440000,555.9529200000,24.9200260000,2.3263930000,78.7704740000,523.3414540000,39.1134850000,3.2597490000,70.3737990000,527.3064800000,19.3303890000,1.1649450000,75.2756430000,528.9380890000,14.2039360000,1.6316180000,62.2226820000,509.3935930000,0.4666740000,56.8541570000,519.7942390000,72.2405010000,0.9298580000,85.9672860000,547.3386140000,0.0000000000,3.4948360000,64.5490770000,492.5652910000,71.2827050000,1.8667020000,84.1659170000,1055.8317300000,2.1178230000,0.2315860000,2.8125780000,1.8778480000,0.7031470000,0.0000000000,78.3981420000,107.1632910000,932.3819410000,7.9661820000,3.7640870000,0.0000000000,46.3018320000,92.8352480000,956.2553840000,4.2272570000,57.8844050000,78.2336720000,938.3780500000,0.0000000000,9.0003540000,52.6527240000,560.8278150000,1.8927020000,0.0000000000,62.3211040000,563.3439650000,3.7720480000,0.0000000000,60.9049140000,571.1062790000,4.0303380000,30.3633870000,58.9988570000,550.9278860000,4.2752760000,0.9396710000,1.4161880000,2.5874400000,1.4295440000,19.8934110000,62.1295950000,537.8838430000,0.7080920000,66.6230950000,525.1247800000,30.8265450000,4.4667830000,1.1846090000,15.8630750000,50.7333080000,554.0586270000,5.2149480000,1.8793460000
27053003200,27053,27,1935.0000000000,1812.0000000000,120.0000000000,330.0000000000,1129.0000000000,38.0000000000,145.0000000000,0.0000000000,8.0000000000,42.0000000000,1264.0000000000,1241.0000000000,70.0000000000,285.0000000000,744.0000000000,29.0000000000,80.0000000000,0.0000000000,4.0000000000,29.0000000000,1.5367900000,6.1471620000,56.0928660000,2.3051860000,599.3483820000,0.0000000000,0.0000000000,53.0192830000,0.0000000000,40.7249530000,552.4762490000,0.0000000000,2.3051860000,0.0000000000,143.6899320000,49.1773020000,453.3532780000,0.0000000000,0.0000000000,2.3051860000,26.1254440000,8.4523490000,40.7249530000,490.2362540000,0.0000000000,72.2291640000,3.0735810000,23.0518620000,42.2617470000,46.1037220000,489.4678330000,0.7683970000,63.0084190000,0.7683970000,0.7683970000,30.7358140000,19.2098840000,55.3244680000,534.8031820000,1.5367900000,33.8093970000,48.4089060000,551.7078690000,2.3051860000,38.4197690000,30.7358140000,42.2617470000,503.2989500000,7.6839500000,3.0736090000,72.2297610000,805.2849980000,0.7684010000,2.3052050000,2.3052050000,4.6104120000,0.0000000000,0.7684010000,0.7684010000,0.0000000000,69.1561570000,713.0768280000,0.7684010000,0.0000000000,74.5349650000,752.2653180000,2.3052050000,43.0308510000,451.0555790000,20.7470180000,3.0736320000,43.0308510000,426.4665160000,38.4204070000,3.0736320000,41.4940350000,427.2349030000,16.1365690000,0.7684080000,40.7256280000,428.0033330000,13.0629380000,0.7684080000,34.5783680000,403.4142670000,0.0000000000,35.3467690000,447.2135170000,41.4940350000,1.5368150000,59.1674230000,442.6030670000,0.0000000000,2.3052200000,37.6519960000,415.7088000000,52.2517470000,0.0000000000,44.5680440000,862.1611150000,0.7684110000,0.7684110000,3.0736570000,1.5368300000,0.7684110000,0.0000000000,64.5468240000,64.5468240000,757.6567240000,9.2209760000,1.5368300000,0.0000000000,26.8945080000,54.5574310000,789.9301710000,3.0736570000,21.5156090000,51.4837730000,782.2460310000,0.0000000000,6.1473660000,27.6631580000,469.5052630000,1.5368420000,0.0000000000,39.1894750000,454.1368340000,4.6105240000,0.0000000000,37.6526330000,465.6631540000,2.3052610000,15.3684220000,37.6526330000,457.2105270000,1.5368420000,1.5368420000,1.5368420000,3.8421030000,0.0000000000,13.8315790000,33.8105280000,450.2947540000,0.7684200000,37.6526330000,438.0000110000,16.9052660000,6.9157870000,0.7684200000,11.5263130000,29.2000020000,453.3684050000,3.0736840000,3.0736840000
27053003300,27053,27,2587.0000000000,2138.0000000000,142.0000000000,163.0000000000,1303.0000000000,24.0000000000,443.0000000000,0.0000000000,3.0000000000,60.0000000000,1385.0000000000,1307.0000000000,75.0000000000,143.0000000000,826.0000000000,15.0000000000,215.0000000000,0.0000000000,3.0000000000,30.0000000000,3.2279090000,3.3490800000,48.9927370000,0.9951910000,367.4098580000,2.3538950000,0.0000000000,38.3138190000,0.0000000000,28.9618120000,334.3977520000,0.0000000000,0.3317290000,0.0000000000,89.8451890000,29.6570570000,279.8172380000,0.0000000000,0.0000000000,0.9951910000,16.3501150000,9.5625620000,28.4513080000,304.7347260000,0.0000000000,37.3245890000,0.0000000000,16.5348560000,23.0800610000,34.0907160000,302.5337840000,2.3538950000,34.0966850000,2.3221070000,0.3317290000,16.3819010000,12.6117000000,38.7667210000,332.4073690000,0.3317290000,23.2906200000,35.1435100000,335.5459000000,0.0000000000,16.5030700000,13.7280620000,30.9521890000,325.3138970000,3.2279090000,0.6491090000,64.8806350000,668.3862210000,0.9736640000,0.3245550000,0.6491090000,3.7843680000,0.0000000000,0.3245550000,0.3245550000,0.0000000000,56.8821220000,558.0855730000,1.5137450000,0.0000000000,49.3108530000,595.1812350000,0.4323170000,38.6869170000,327.0026600000,10.7035190000,0.0000000000,33.9852110000,321.4140900000,17.4713830000,2.2878710000,31.2538990000,309.9445320000,13.1173600000,0.8264620000,35.4768240000,309.3095660000,7.8462470000,0.3174750000,30.3014740000,304.7640200000,0.3174750000,25.1865340000,324.3067010000,29.0971260000,0.0000000000,37.0641980000,327.7989290000,0.0000000000,0.7307070000,23.0901740000,286.8845530000,49.1385120000,0.0000000000,34.1934980000,804.1555860000,1.3269450000,0.0000000000,1.7224240000,1.1014510000,0.0000000000,0.0000000000,44.9530230000,64.5206660000,693.5804490000,5.1672720000,5.0822780000,0.0000000000,21.8555390000,44.0180770000,708.0068120000,0.3104880000,27.7582750000,39.0762950000,669.5930400000,0.0000000000,5.1588130000,21.3909260000,322.1760970000,0.0000000000,0.0000000000,28.2161790000,314.4466900000,0.6071790000,0.0000000000,26.6250910000,316.3413660000,0.0000000000,9.1786240000,23.4385030000,325.8967250000,5.3848570000,0.0000000000,0.7578730000,1.7439880000,0.3035890000,10.0140410000,24.5775140000,305.5694710000,0.6071790000,28.3690730000,291.9167610000,13.2759720000,6.2956240000,0.3789350000,7.3592860000,21.9205570000,304.9666900000,3.1843870000,0.3789350000
