VTD1,NAME1,VTD2,NAME2
270530555,Crystal W-1 P-2,270532336,New Hope P-11
270530555,Crystal W-1 P-2,270532310,New Hope P-4
270530555,Crystal W-1 P-2,270532315,New Hope P-5
270530555,Crystal W-1 P-2,270532295,New Hope P-2
270532336,New Hope P-11,270532295,New Hope P-2
270531015,Golden Valley P-6,270531020,Golden Valley P-7
270531015,Golden Valley P-6,270531025,Golden Valley P-8
270531015,Golden Valley P-6,270532295,New Hope P-2
270531005,Golden Valley P-4,270531015,Golden Valley P-6
270531005,Golden Valley P-4,270531010,Golden Valley P-5
270531005,Golden Valley P-4,270532295,New Hope P-2
270530550,Crystal W-1 P-1,270530555,Crystal W-1 P-2
270530550,Crystal W-1 P-1,270532336,New Hope P-11
270530550,Crystal W-1 P-1,270531005,Golden Valley P-4
270530550,Crystal W-1 P-1,270530990,Golden Valley P-2
270530550,Crystal W-1 P-1,270532315,New Hope P-5
270530550,Crystal W-1 P-1,270530565,Crystal W-2 P-2
270530550,Crystal W-1 P-1,270530560,Crystal W-2 P-1
270530550,Crystal W-1 P-1,270532295,New Hope P-2
270531000,Golden Valley P-3,270531010,Golden Valley P-5
270531000,Golden Valley P-3,270531580,Minneapolis W-5 P-6
270530990,Golden Valley P-2,270531005,Golden Valley P-4
270530990,Golden Valley P-2,270531000,Golden Valley P-3
270530990,Golden Valley P-2,270531570,Minneapolis W-5 P-4
270530985,Golden Valley P-1,270530990,Golden Valley P-2
270530985,Golden Valley P-1,270532675,Robbinsdale W-4
270530985,Golden Valley P-1,270531570,Minneapolis W-5 P-4
270530985,Golden Valley P-1,270531555,Minneapolis W-5 P-1
270532310,New Hope P-4,270532315,New Hope P-5
270532310,New Hope P-4,270532320,New Hope P-6
270532315,New Hope P-5,270532320,New Hope P-6
270532320,New Hope P-6,270532335,New Hope P-8
270532320,New Hope P-6,270532325,New Hope P-6E
270532320,New Hope P-6,270532330,New Hope P-7
270530565,Crystal W-2 P-2,270532315,New Hope P-5
270530565,Crystal W-2 P-2,270530570,Crystal W-3 P-1
270530575,Crystal W-3 P-2,270532315,New Hope P-5
270530575,Crystal W-3 P-2,270532320,New Hope P-6
270530575,Crystal W-3 P-2,270530590,Crystal W-4 P-2
270530400,Brooklyn Park W-W P-2,270532335,New Hope P-8
270530400,Brooklyn Park W-W P-2,270530590,Crystal W-4 P-2
270530400,Brooklyn Park W-W P-2,270530405,Brooklyn Park W-W P-3
270530400,Brooklyn Park W-W P-2,270531250,Maple Grove P-13
270530400,Brooklyn Park W-W P-2,270530420,Brooklyn Park W-W P-6
270530400,Brooklyn Park W-W P-2,270532330,New Hope P-7
270530590,Crystal W-4 P-2,270532320,New Hope P-6
270530590,Crystal W-4 P-2,270532335,New Hope P-8
270530405,Brooklyn Park W-W P-3,270530415,Brooklyn Park W-W P-5
270530405,Brooklyn Park W-W P-3,270530585,Crystal W-4 P-1
270530415,Brooklyn Park W-W P-5,270530420,Brooklyn Park W-W P-6
270530560,Crystal W-2 P-1,270530990,Golden Valley P-2
270530560,Crystal W-2 P-1,270530985,Golden Valley P-1
270530560,Crystal W-2 P-1,270532675,Robbinsdale W-4
270530560,Crystal W-2 P-1,270530565,Crystal W-2 P-2
270530560,Crystal W-2 P-1,270532665,Robbinsdale W-3
270530560,Crystal W-2 P-1,270532645,Robbinsdale W-1
270530560,Crystal W-2 P-1,270530570,Crystal W-3 P-1
270532665,Robbinsdale W-3,270532675,Robbinsdale W-4
270532645,Robbinsdale W-1,270532665,Robbinsdale W-3
270532645,Robbinsdale W-1,270532655,Robbinsdale W-2
270530570,Crystal W-3 P-1,270532315,New Hope P-5
270530570,Crystal W-3 P-1,270530575,Crystal W-3 P-2
270530570,Crystal W-3 P-1,270530590,Crystal W-4 P-2
270530570,Crystal W-3 P-1,270532645,Robbinsdale W-1
270530570,Crystal W-3 P-1,270530585,Crystal W-4 P-1
270532655,Robbinsdale W-2,270532675,Robbinsdale W-4
270532655,Robbinsdale W-2,270532665,Robbinsdale W-3
270530225,Brooklyn Center P-6,270532645,Robbinsdale W-1
270530225,Brooklyn Center P-6,270530570,Crystal W-3 P-1
270530225,Brooklyn Center P-6,270532655,Robbinsdale W-2
270530225,Brooklyn Center P-6,270530585,Crystal W-4 P-1
270530225,Brooklyn Center P-6,270530230,Brooklyn Center P-7
270530225,Brooklyn Center P-6,270531520,Minneapolis W-4 P-4
270530225,Brooklyn Center P-6,270531505,Minneapolis W-4 P-1
270530585,Crystal W-4 P-1,270530590,Crystal W-4 P-2
270530230,Brooklyn Center P-7,270530405,Brooklyn Park W-W P-3
270530230,Brooklyn Center P-7,270530585,Crystal W-4 P-1
270530220,Brooklyn Center P-5,270530405,Brooklyn Park W-W P-3
270530220,Brooklyn Center P-5,270530225,Brooklyn Center P-6
270530220,Brooklyn Center P-5,270530230,Brooklyn Center P-7
270530215,Brooklyn Center P-4,270530415,Brooklyn Park W-W P-5
270530215,Brooklyn Center P-4,270530220,Brooklyn Center P-5
270530215,Brooklyn Center P-4,270530345,Brooklyn Park W-E P-1
270530215,Brooklyn Center P-4,270530300,Brooklyn Park W-C P-1
270530215,Brooklyn Center P-4,270530305,Brooklyn Park W-C P-2
270530215,Brooklyn Center P-4,270530310,Brooklyn Park W-C P-3
270532495,Plymouth W-4 P-20,270532510,Plymouth W-4 P-23
270532495,Plymouth W-4 P-20,270532500,Plymouth W-4 P-21
270532495,Plymouth W-4 P-20,270532505,Plymouth W-4 P-22
270532510,Plymouth W-4 P-23,270532515,Plymouth W-4 P-24
270531265,Maple Grove P-16,270531275,Maple Grove P-18
270531265,Maple Grove P-16,270531270,Maple Grove P-17
270531265,Maple Grove P-16,270531300,Maple Grove P-23
270531260,Maple Grove P-15,270531265,Maple Grove P-16
270531260,Maple Grove P-15,270532500,Plymouth W-4 P-21
270531260,Maple Grove P-15,270531300,Maple Grove P-23
270531255,Maple Grove P-14,270531260,Maple Grove P-15
270531255,Maple Grove P-14,270532500,Plymouth W-4 P-21
270532515,Plymouth W-4 P-24,270532520,Plymouth W-4 P-25
270532305,New Hope P-3S,270532310,New Hope P-4
270532305,New Hope P-3S,270532520,Plymouth W-4 P-25
270532300,New Hope P-3N,270532310,New Hope P-4
270532300,New Hope P-3N,270532515,Plymouth W-4 P-24
270532300,New Hope P-3N,270532305,New Hope P-3S
270532300,New Hope P-3N,270532325,New Hope P-6E
270532300,New Hope P-3N,270532500,Plymouth W-4 P-21
270532325,New Hope P-6E,270532500,Plymouth W-4 P-21
270532325,New Hope P-6E,270532330,New Hope P-7
270532500,Plymouth W-4 P-21,270532510,Plymouth W-4 P-23
270532500,Plymouth W-4 P-21,270532515,Plymouth W-4 P-24
270531250,Maple Grove P-13,270531255,Maple Grove P-14
270531250,Maple Grove P-13,270532500,Plymouth W-4 P-21
270532465,Plymouth W-2 P-14,270532485,Plymouth W-3 P-18
270532465,Plymouth W-2 P-14,270532470,Plymouth W-3 P-15
